cmake_minimum_required(VERSION 3.23)

project(allio-core)

find_package(vsm-box REQUIRED)
find_package(vsm-core REQUIRED)
find_package(vsm-flags REQUIRED)
find_package(vsm-intrusive REQUIRED)
find_package(vsm-intrusive_ptr REQUIRED)
find_package(vsm-linear REQUIRED)
find_package(vsm-literals REQUIRED)
find_package(vsm-math REQUIRED)
find_package(vsm-numeric REQUIRED)
find_package(vsm-offset_ptr REQUIRED)
find_package(vsm-optional REQUIRED)
find_package(vsm-result REQUIRED)
find_package(vsm-tag_ptr REQUIRED)
find_package(vsm-unique_resource REQUIRED)
find_package(p2300 REQUIRED)

vsm_add_library(allio::core
	HEADERS
		source/allio/impl/win32/iocp/multiplexer.cpp
		source/allio/impl/win32/iocp/process.cpp
		source/allio/impl/win32/iocp/socket.cpp
		source/allio/impl/win32/iocp/wait.cpp

	TEST_SOURCES
		source/allio/test/win32/afd.cpp
		source/allio/test/win32/command_line.cpp
		source/allio/test/win32/kernel_path.cpp
		source/allio/test/win32/memory.cpp
		#source/allio/test/win32/timer2.cpp
		source/allio/test/win32/wait_packet.cpp
		source/allio/test/win32/wsa.cpp
)

vsm_configure(allio::core
	PLATFORM Linux
	
	HEADERS
		include/allio/linux/detail/path.hpp
		include/allio/linux/detail/path_view.hpp
		include/allio/linux/detail/undef.i
		include/allio/linux/platform.hpp
		include/allio/linux/timespec.hpp

		# io_uring
		include/allio/linux/detail/io_uring/event.hpp
		include/allio/linux/detail/io_uring/listen_socket.hpp
		include/allio/linux/detail/io_uring/multiplexer.hpp
		include/allio/linux/detail/io_uring/socket.hpp
	
	SOURCES
		source/allio/impl/linux/api_string.hpp
		source/allio/impl/linux/byte_io.cpp
		source/allio/impl/linux/byte_io.hpp
		source/allio/impl/linux/error.cpp
		source/allio/impl/linux/error.hpp
		source/allio/impl/linux/fcntl.hpp
		source/allio/impl/linux/fork_exec.cpp
		source/allio/impl/linux/fork_exec.hpp
		source/allio/impl/linux/io_uring.hpp
		source/allio/impl/linux/memory.cpp
		source/allio/impl/linux/mman.hpp
		source/allio/impl/linux/mmap.cpp
		source/allio/impl/linux/platform.cpp
		source/allio/impl/linux/posix_socket.hpp
		source/allio/impl/linux/posix_socket.cpp
		source/allio/impl/linux/proc.hpp
		source/allio/impl/linux/process_reaper.hpp
		source/allio/impl/linux/process_reaper.cpp
		source/allio/impl/linux/random.cpp
		source/allio/impl/linux/stat.hpp
		source/allio/impl/linux/timeout.hpp
		source/allio/impl/linux/transcode.cpp
		source/allio/impl/linux/unique_mmap.cpp
		source/allio/impl/linux/version.cpp
		source/allio/impl/linux/version.hpp
		source/allio/impl/posix/socket.cpp
		source/allio/impl/posix/socket.hpp
		source/allio/impl/posix/unique_socket.cpp

		# handles
		source/allio/impl/linux/handles/directory.cpp
		source/allio/impl/linux/handles/event.cpp
		source/allio/impl/linux/handles/event.hpp
		source/allio/impl/linux/handles/file.cpp
		source/allio/impl/linux/handles/fs_object.cpp
		source/allio/impl/linux/handles/fs_object.hpp
		source/allio/impl/linux/handles/map.cpp
		source/allio/impl/linux/handles/pipe.cpp
		source/allio/impl/linux/handles/platform_object.cpp
		source/allio/impl/linux/handles/process.cpp
		source/allio/impl/linux/handles/section.cpp
		source/allio/impl/posix/handles/datagram_socket.cpp
		source/allio/impl/posix/handles/listen_socket.cpp
		source/allio/impl/posix/handles/socket.cpp

		# io_uring
		source/allio/impl/linux/io_uring/datagram_socket.cpp
		source/allio/impl/linux/io_uring/event.cpp
		source/allio/impl/linux/io_uring/listen_socket.cpp
		source/allio/impl/linux/io_uring/multiplexer.cpp
		source/allio/impl/linux/io_uring/socket.cpp
		#source/allio/impl/linux/io_uring/process.cpp

	TEST_SOURCES
		source/allio/test/linux/io_uring.cpp
		source/allio/test/linux/memory.cpp
)


set(allio_test_program_output "${CMAKE_CURRENT_BINARY_DIR}/test_program_output.txt")

target_compile_definitions(allio_core_test
	PRIVATE
		"allio_detail_test_program=\"$<TARGET_FILE:test_program>\""
		"allio_detail_test_program_output=\"${allio_test_program_output}\""
)
add_dependencies(allio_core_test test_program)

add_subdirectory(tools)
